Code,Name,Date,Open,High,Low,Close,Pct_Change,Amount(million),Volume(shares)
NDX.GI,NASDAQ100,1997-11-07,1034.17,1034.79,1010.32,1028.32,-0.0057,0,185485100
NDX.GI,NASDAQ100,1997-11-10,1028.32,1040.05,1011.14,1011.54,-0.0163,0,150407700
NDX.GI,NASDAQ100,1997-11-11,1011.52,1019.62,1006.83,1010.96,-0.0006,0,140116200
NDX.GI,NASDAQ100,1997-11-12,1010.96,1010.96,978.84,980.14,-0.0305,0,200000100
NDX.GI,NASDAQ100,1997-11-13,980.14,1005.25,971.61,1005.25,0.0256,0,212351200
NDX.GI,NASDAQ100,1997-11-14,1010.81,1030.32,1007.42,1027.85,0.0225,0,175756100
NDX.GI,NASDAQ100,1997-11-17,1027.85,1055.49,1027.85,1049.7,0.0213,0,164374400
NDX.GI,NASDAQ100,1997-11-18,1049.7,1051.67,1036.23,1036.31,-0.0128,0,132276600
NDX.GI,NASDAQ100,1997-11-19,1036.31,1042.02,1030.84,1039.12,0.0027,0,104708400
NDX.GI,NASDAQ100,1997-11-20,1039.12,1063.52,1039.12,1062.49,0.0225,0,153153300
NDX.GI,NASDAQ100,1997-11-21,1062.49,1073.97,1049.43,1056.59,-0.0056,0,166823800
NDX.GI,NASDAQ100,1997-11-24,1056.59,1056.59,1028.62,1030.22,-0.025,0,130370000
NDX.GI,NASDAQ100,1997-11-25,1030.22,1041.18,1026.17,1038.06,0.0076,0,156601100
NDX.GI,NASDAQ100,1997-11-26,1038.06,1047.25,1038.06,1044.24,0.006,0,107817300
NDX.GI,NASDAQ100,1997-11-28,1044.24,1054.57,1042.72,1050.51,0.006,0,41547000
NDX.GI,NASDAQ100,1997-12-01,1050.51,1079.39,1050.51,1079.23,0.0273,0,164223500
NDX.GI,NASDAQ100,1997-12-02,1079.23,1079.23,1050.93,1052.07,-0.0252,0,180793600
NDX.GI,NASDAQ100,1997-12-03,1052.07,1062.93,1036.73,1061.62,0.0091,0,210938200
NDX.GI,NASDAQ100,1997-12-04,1061.62,1068.34,1050.39,1052.76,-0.0083,0,158675300
NDX.GI,NASDAQ100,1997-12-05,1052.76,1070.63,1050.04,1070.27,0.0166,0,156009600
NDX.GI,NASDAQ100,1997-12-08,1070.27,1085.35,1070.27,1082.92,0.0118,0,140535800
