Code,Name,Date,Open,High,Low,Close,Pct_Change,Amount,Volume
NDX.GI,纳斯达克100,2025-06-20 13:20,21681,21681.63,21643.4,21645.65,-0.0016,0,0
NDX.GI,纳斯达克100,2025-06-20 13:25,21644.99,21646.41,21633.08,21633.98,-0.0005,0,0
NDX.GI,纳斯达克100,2025-06-20 13:30,21628.2,21628.2,21567.74,21576.3,-0.0027,0,0
NDX.GI,纳斯达克100,2025-06-20 13:35,21572.77,21585.04,21569.74,21583.13,0.0003,0,0
NDX.GI,纳斯达克100,2025-06-20 13:40,21571.04,21571.28,21552.8,21569.24,-0.0006,0,0
NDX.GI,纳斯达克100,2025-06-20 13:45,21570.72,21601.3,21569.37,21586.9,0.0008,0,0
NDX.GI,纳斯达克100,2025-06-20 13:50,21586.7,21593.86,21583.01,21593.83,0.0003,0,0
NDX.GI,纳斯达克100,2025-06-20 13:55,21593.02,21608.48,21593.02,21608.48,0.0007,0,0
NDX.GI,纳斯达克100,2025-06-20 14:00,21609.06,21624.04,21609.06,21622.45,0.0006,0,0
NDX.GI,纳斯达克100,2025-06-20 14:05,21620.08,21637.02,21619.31,21633.02,0.0005,0,0
NDX.GI,纳斯达克100,2025-06-20 14:10,21633.17,21644.05,21633.17,21641.61,0.0004,0,0
NDX.GI,纳斯达克100,2025-06-20 14:15,21641.52,21644.76,21638.53,21643.62,0.0001,0,0
NDX.GI,纳斯达克100,2025-06-20 14:20,21643.68,21676.07,21640.68,21673.67,0.0014,0,0
NDX.GI,纳斯达克100,2025-06-20 14:25,21673.64,21674.78,21664.12,21667.72,-0.0003,0,0
NDX.GI,纳斯达克100,2025-06-20 14:30,21668.26,21671.07,21658.02,21663.92,-0.0002,0,0
NDX.GI,纳斯达克100,2025-06-20 14:35,21664.16,21673.66,21657.72,21667.36,0.0002,0,0
NDX.GI,纳斯达克100,2025-06-20 14:40,21667.36,21671.3,21652.7,21655.01,-0.0006,0,0
NDX.GI,纳斯达克100,2025-06-20 14:45,21655.14,21661.07,21646.44,21650.14,-0.0002,0,0
NDX.GI,纳斯达克100,2025-06-20 14:50,21650.55,21655.25,21643.51,21644.02,-0.0003,0,0
NDX.GI,纳斯达克100,2025-06-20 14:55,21643.53,21644.29,21633.67,21635.02,-0.0004,0,0
NDX.GI,纳斯达克100,2025-06-20 15:00,21635.02,21635.02,21591.65,21596.96,-0.0018,0,0
NDX.GI,纳斯达克100,2025-06-20 15:05,21596.94,21609.78,21593.23,21601.68,0.0002,0,0
NDX.GI,纳斯达克100,2025-06-20 15:10,21611.07,21611.54,21595.96,21601.05,0,0,0
NDX.GI,纳斯达克100,2025-06-20 15:15,21600.31,21612.2,21597.65,21599.86,-0.0001,0,0
NDX.GI,纳斯达克100,2025-06-20 15:20,21599.83,21610.88,21599.37,21608.31,0.0004,0,0
