代码,名称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌幅,成交额(百万),成交量(股)
SPX.GI,标普500,1928-06-26,18.68,18.68,18.68,18.68,0.0114,0,0
SPX.GI,标普500,1928-06-27,18.86,18.86,18.86,18.86,0.0096,0,0
SPX.GI,标普500,1928-06-28,19.07,19.07,19.07,19.07,0.0111,0,0
SPX.GI,标普500,1928-06-29,19.14,19.14,19.14,19.14,0.0037,0,0
SPX.GI,标普500,1928-07-02,18.98,18.98,18.98,18.98,-0.0084,0,0
SPX.GI,标普500,1928-07-03,19.29,19.29,19.29,19.29,0.0163,0,0
SPX.GI,标普500,1928-07-05,19.48,19.48,19.48,19.48,0.0098,0,0
SPX.GI,标普500,1928-07-06,19.39,19.39,19.39,19.39,-0.0046,0,0
SPX.GI,标普500,1928-07-09,19.46,19.46,19.46,19.46,0.0036,0,0
SPX.GI,标普500,1928-07-10,19.43,19.43,19.43,19.43,-0.0015,0,0
SPX.GI,标普500,1928-07-11,18.95,18.95,18.95,18.95,-0.0247,0,0
SPX.GI,标普500,1928-07-12,18.81,18.81,18.81,18.81,-0.0074,0,0
SPX.GI,标普500,1928-07-13,18.96,18.96,18.96,18.96,0.008,0,0
SPX.GI,标普500,1928-07-16,18.7,18.7,18.7,18.7,-0.0137,0,0
SPX.GI,标普500,1928-07-17,18.8,18.8,18.8,18.8,0.0053,0,0
SPX.GI,标普500,1928-07-18,19.03,19.03,19.03,19.03,0.0122,0,0
SPX.GI,标普500,1928-07-19,18.99,18.99,18.99,18.99,-0.0021,0,0
SPX.GI,标普500,1928-07-20,19.03,19.03,19.03,19.03,0.0021,0,0
SPX.GI,标普500,1928-07-23,19.12,19.12,19.12,19.12,0.0047,0,0
SPX.GI,标普500,1928-07-24,19.09,19.09,19.09,19.09,-0.0016,0,0
SPX.GI,标普500,1928-07-25,19.2,19.2,19.2,19.2,0.0058,0,0
SPX.GI,标普500,1928-07-26,19.24,19.24,19.24,19.24,0.0021,0,0
